,index,run,precision,recall,f1,seg_id,num_endpoints,endpoints,invalidation_d,num_humfrey_iters,decimation_factor,comments,proposed_endpoints
10,10,2,0.5,0.5,0.5,864691135651129491,2,"[[ 81198 106660  21133]
 [ 88864  99498  20482]]",5600,125,0.6,good,"[[ 80896 106263  21181]
 [ 88871  99471  20481]]"
11,11,2,1.0,1.0,1.0,864691133692934758,2,"[[ 77826 139204  21137]
 [ 77790 139215  21140]]",5600,125,0.6,good,"[[ 77853 139246  21133]
 [ 77695 139161  21139]]"
12,12,2,1.0,1.0,1.0,864691133097965890,2,"[[ 79165 133413  20708]
 [ 79077 133479  20677]]",5600,125,0.6,good,"[[ 79048 133520  20676]
 [ 79140 133371  20707]]"
13,13,2,0.0,0.0,,864691134918217423,2,"[[ 75409 116393  21135]
 [ 74841 116076  21217]]",5600,125,0.6,good,"[[ 75849 115963  21153]
 [ 74979 116567  21178]]"
14,14,2,1.0,1.0,1.0,864691133712131152,2,"[[ 84508 142994  20724]
 [ 84551 142973  20722]]",5600,125,0.6,good,"[[ 84688 142910  20722]
 [ 84411 143070  20723]]"
15,15,2,1.0,1.0,1.0,864691135559405139,2,"[[212020 200330  23231]
 [212535 200478  23228]]",5600,125,0.6,good,"[[212312 200476  23226]
 [211997 200322  23231]]"
16,16,2,0.25,0.5,0.3333333333333333,864691135537360703,2,"[[167695 211664  20725]
 [145921 225039  22976]]",5600,125,0.6,good,"[[152391 221384  22530]
 [166663 211491  20783]
 [145741 225131  22966]
 [152756 222059  22418]]"
17,17,2,0.3333333333333333,0.5,0.4,864691134472630080,2,"[[351150 143681  15176]
 [348147 144970  14850]]",5600,125,0.6,good,"[[349984 143790  15087]
 [351103 143484  15147]
 [348707 145217  14892]]"
18,18,2,0.0,0.0,0.0,864691133678427777,2,"[[344600 142349  16939]
 [344592 142335  16937]]",5600,125,0.6,good,
19,19,2,1.0,1.0,1.0,864691133922173572,2,"[[365649 143596  17209]
 [365939 143556  17266]]",5600,125,0.6,good,"[[366000 143552  17266]
 [365770 143569  17209]]"
20,20,2,1.0,1.0,1.0,864691134865499607,2,"[[366719 138890  16417]
 [367885 138975  16518]]",5600,125,0.6,good,"[[366625 138909  16416]
 [368166 139332  16508]]"
21,21,2,0.5,0.5,0.5,864691134742288112,2,"[[353411 147608  15177]
 [352169 149000  14848]]",5600,125,0.6,good,"[[353871 147292  15173]
 [352119 149030  14850]]"
22,22,2,0.5,0.3333333333333333,0.4,864691135105077237,3,"[[366292 145971  16282]
 [365559 146710  16237]
 [366729 146323  16252]]",5600,125,0.6,good,"[[366874 146430  16252]
 [365943 146920  16264]]"
23,23,2,0.0,0.0,0.0,864691133766052845,2,"[[364450 138585  16225]
 [364459 138583  16224]]",5600,125,0.6,good,
24,24,2,0.5,0.5,0.5,864691135106856437,2,"[[368040 143694  16594]
 [369126 143559  16661]]",5600,125,0.6,good,"[[367725 143714  16594]
 [369882 143414  16636]]"
25,25,2,0.3333333333333333,0.5,0.4,864691135701215880,2,"[[101795 247367  19549]
 [ 97049 240061  20592]]",5600,125,0.6,good,"[[101479 246520  19583]
 [ 96727 239718  20486]
 [101809 247354  19547]]"
26,26,2,1.0,1.0,1.0,864691134282775283,2,"[[ 92574 255351  20402]
 [ 92241 255519  20432]]",5600,125,0.6,good,"[[ 92707 255333  20403]
 [ 92116 255557  20431]]"
27,27,2,1.0,1.0,1.0,864691135467651075,2,"[[114532 262237  21456]
 [117327 266080  21565]]",5600,125,0.6,good,"[[114476 262086  21453]
 [117307 266092  21563]]"
28,28,2,0.0,0.0,,864691135496889954,2,"[[121332 261988  21081]
 [124363 266598  21292]]",5600,125,0.6,good,"[[122003 262272  21072]
 [124447 265936  21073]]"
29,29,2,1.0,1.0,1.0,864691135418167764,2,"[[124076 245911  20653]
 [131332 245544  20993]]",5600,125,0.6,good,"[[131439 245583  20985]
 [124062 245896  20654]]"
30,30,2,0.0,0.0,,864691135091308176,2,"[[ 91990 254558  18886]
 [ 89162 254502  18809]]",5600,125,0.6,good,"[[ 90192 254538  18836]
 [ 91824 255081  18885]]"
31,31,2,0.0,0.0,,864691136086187907,3,"[[ 91998 257005  18030]
 [ 92047 257166  17971]
 [ 95465 260435  18180]]",5600,125,0.6,good,"[[ 91496 257228  17983]
 [ 95593 259968  18062]]"
32,32,2,0.5,0.5,0.5,864691135452288336,2,"[[103494 249888  18886]
 [ 95051 235495  18680]]",5600,125,0.6,good,"[[ 95061 235462  18678]
 [104954 249644  18777]]"
33,33,2,0.7142857142857143,1.0,0.8333333333333333,864691135770899279,5,"[[ 89795 241829  19735]
 [ 92006 236451  19553]
 [ 83827 237824  19706]
 [ 83818 240029  19685]
 [ 79493 232299  19806]]",5600,125,0.6,good,"[[ 83800 237808  19705]
 [ 85772 238145  19950]
 [ 90035 241902  19761]
 [ 92063 236354  19551]
 [ 79464 232238  19811]
 [ 84513 237925  20181]
 [ 83769 240131  19675]]"
34,34,2,0.6666666666666666,1.0,0.8,864691135086426256,2,"[[ 92375 244828  19552]
 [ 89922 247651  20068]]",5600,125,0.6,good,"[[ 91264 245826  19673]
 [ 89930 247640  20067]
 [ 92509 244812  19551]]"
35,35,2,0.5454545454545454,0.8571428571428571,0.6666666666666665,864691136339366110,7,"[[ 99421 237973  18886]
 [118801 231687  18346]
 [ 99834 231257  18886]
 [ 83955 228517  18160]
 [101885 213030  17722]
 [ 95893 197762  16390]
 [ 83218 198424  17497]]",5600,125,0.6,good,"[[ 87431 205793  17760]
 [ 83943 228492  18159]
 [118882 231590  18351]
 [ 95740 216357  17817]
 [ 99218 237979  18852]
 [ 89449 212814  17892]
 [ 83100 198319  17495]
 [ 94619 223288  18434]
 [ 86659 199112  17492]
 [101871 213056  17717]
 [100088 231136  18875]]"
36,36,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,864691135465651024,3,"[[103084 242200  18886]
 [110692 237219  18434]
 [111502 242338  18430]]",5600,125,0.6,good,"[[111352 241814  18377]
 [110606 237024  18445]
 [102930 242248  18886]]"
37,37,2,0.5,0.6666666666666666,0.5714285714285715,864691135445716048,3,"[[101395 241109  18886]
 [ 95743 240134  17874]
 [ 88413 241445  18707]]",5600,125,0.6,good,"[[ 94273 240177  18087]
 [101420 241111  18886]
 [ 88291 241203  18691]
 [ 92708 240791  18069]]"
38,38,2,1.0,1.0,1.0,864691136255860877,2,"[[108790 257101  19282]
 [124559 269371  19408]]",5600,125,0.6,good,"[[124637 269443  19411]
 [108760 257077  19283]]"
39,39,2,1.0,0.6666666666666666,0.8,864691135243838259,3,"[[238371 242473  22476]
 [238457 244555  22569]
 [244655 242054  22367]]",5600,125,0.6,good,"[[244604 242205  22355]
 [238446 244551  22569]]"
40,40,2,1.0,1.0,1.0,864691135973152383,3,"[[214003 239696  22150]
 [207975 242223  21811]
 [207392 247744  21826]]",5600,125,0.6,good,"[[207387 247588  21826]
 [214087 239668  22151]
 [207999 242179  21810]]"
41,41,2,1.0,1.0,1.0,864691136020765090,2,"[[229738 242657  23002]
 [232273 221019  24296]]",5600,125,0.6,good,"[[229692 242372  23003]
 [232276 220993  24296]]"
42,42,2,0.6666666666666666,1.0,0.8,864691136533382236,2,"[[215980 250188  22175]
 [216934 252017  21871]]",5600,125,0.6,good,"[[215994 251778  22043]
 [215647 250132  22156]
 [216894 252066  21851]]"
43,43,2,1.0,1.0,1.0,864691135701025416,3,"[[107780 233751  21951]
 [102886 233653  21793]
 [101029 231512  21571]]",5600,125,0.6,good,"[[101069 231465  21572]
 [107964 233711  21923]
 [102862 233653  21793]]"
44,44,2,1.0,1.0,1.0,864691134992553950,2,"[[136200 231009  21675]
 [137726 231340  21467]]",5600,125,0.6,good,"[[136067 230993  21674]
 [137700 231335  21467]]"
45,45,2,0.6666666666666666,1.0,0.8,864691136332218590,2,"[[115538 236798  23272]
 [119437 236091  24379]]",5600,125,0.6,good,"[[115467 236825  23271]
 [118325 235846  23462]
 [119390 236074  24377]]"
46,46,2,1.0,1.0,1.0,864691135154890214,2,"[[105962 225371  22049]
 [105764 225119  22040]]",5600,125,0.6,good,"[[106114 225404  22048]
 [105748 225109  22039]]"
47,47,2,1.0,1.0,1.0,864691135619456283,2,"[[106751 240190  22672]
 [105119 240360  22705]]",5600,125,0.6,good,"[[106770 240176  22671]
 [105092 240358  22705]]"
48,48,2,0.2857142857142857,0.25,0.2666666666666666,864691135352678386,8,"[[111507 222732  22035]
 [103133 218005  21203]
 [102041 153623  21675]
 [112350 146522  21642]
 [ 99727 149747  20928]
 [ 92904 105009  21852]
 [ 98126 159248  21078]
 [ 95362 152436  20927]]",5600,125,0.6,good,"[[108618 198215  21043]
 [102923 217967  21223]
 [109455 205642  21250]
 [108653 194264  21365]
 [109879 202629  21315]
 [107153 188954  21228]
 [111607 222884  22035]]"
49,49,2,1.0,1.0,1.0,864691135410018528,3,"[[110710 238814  22885]
 [108984 238250  23105]
 [109103 239918  23104]]",5600,125,0.6,good,"[[108989 240117  23110]
 [109084 237984  23086]
 [110824 238797  22883]]"
50,50,2,1.0,1.0,1.0,864691136300402398,2,"[[114302 226209  22036]
 [122799 224013  21841]]",5600,125,0.6,good,"[[114287 226046  22018]
 [122789 223962  21838]]"
51,51,2,1.0,1.0,1.0,864691135064182662,2,"[[108331 239439  22553]
 [108001 239551  22547]]",5600,125,0.6,good,"[[107975 239548  22546]
 [108680 239775  22548]]"
52,52,2,0.5,0.5,0.5,864691136320471262,2,"[[138540 218696  26348]
 [113372 224291  24259]]",5600,125,0.6,good,"[[113060 224014  24356]
 [138669 218638  26349]]"
53,53,2,0.5,0.5,0.5,864691134952775929,2,"[[114948 194594  24243]
 [111880 193451  24003]]",5600,125,0.6,good,"[[112870 193696  24055]
 [114964 194584  24243]]"
54,54,2,1.0,1.0,1.0,864691135800647092,2,"[[124463 104387  26580]
 [119649  95511  26587]]",5600,125,0.6,good,"[[119638  95503  26586]
 [124486 104531  26575]]"
55,55,2,0.5,1.0,0.6666666666666666,864691136819565166,2,"[[138830 217418  26348]
 [119661 181314  25228]]",5600,125,0.6,good,"[[130198 213109  25333]
 [136918 214142  25639]
 [138861 217420  26348]
 [119669 181238  25227]]"
56,56,2,1.0,1.0,1.0,864691136159416333,2,"[[139743 217650  26348]
 [164292 216295  23395]]",5600,125,0.6,good,"[[139762 217654  26348]
 [164288 216267  23392]]"
57,57,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,864691136019108433,3,"[[128688 164321  26262]
 [122720 160983  25666]
 [119788 145710  25344]]",5600,125,0.6,good,"[[128787 164753  26265]
 [124451 160124  25769]
 [119822 145665  25346]]"
58,58,2,1.0,1.0,1.0,864691135431359971,2,"[[123195 178592  21507]
 [122128 178347  21278]]",5600,125,0.6,good,"[[123190 178558  21508]
 [122001 178378  21275]]"
59,59,2,0.5,0.5,0.5,864691135422747497,2,"[[120495 185235  21512]
 [120221 188999  20922]]",5600,125,0.6,good,"[[119629 189008  20933]
 [120212 185245  21479]]"
60,60,2,1.0,1.0,1.0,864691135066358591,2,"[[136079 182458  20917]
 [136402 182192  20846]]",5600,125,0.6,good,"[[136090 182401  20912]
 [136350 182171  20845]]"
61,61,2,1.0,1.0,1.0,864691135243409363,2,"[[125651 179253  21829]
 [134788 162962  23513]]",5600,125,0.6,good,"[[134809 163001  23515]
 [125667 179240  21827]]"
62,62,2,1.0,1.0,1.0,864691135489218668,3,"[[127745 180987  21829]
 [127799 168227  22142]
 [145826 168883  22019]]",5600,125,0.6,good,"[[145838 168946  22018]
 [127643 180930  21827]
 [127835 168510  22170]]"
63,63,2,1.0,1.0,1.0,864691134734207271,2,"[[122541 156621  23215]
 [123400 153233  23659]]",5600,125,0.6,good,"[[122472 156612  23212]
 [123049 153359  23632]]"
64,64,2,1.0,1.0,1.0,864691135108352130,2,"[[105079 184428  21958]
 [101985 184289  22036]]",5600,125,0.6,good,"[[101963 184308  22035]
 [105112 184446  21957]]"
65,65,2,1.0,1.0,1.0,864691134163330198,2,"[[124325 184170  21779]
 [124064 184357  21809]]",5600,125,0.6,good,"[[123910 184524  21809]
 [124370 184031  21780]]"
66,66,2,1.0,1.0,1.0,864691135224157062,2,"[[313505 161103  18580]
 [314477 162881  18717]]",5600,125,0.6,good,"[[314460 162872  18716]
 [313364 161016  18586]]"
67,67,2,1.0,1.0,1.0,864691136694775836,2,"[[307899  98712  19067]
 [309700  87653  19669]]",5600,125,0.6,good,"[[309696  87624  19669]
 [307876  98733  19067]]"
68,68,2,1.0,1.0,1.0,864691135632675511,3,"[[286807  94503  18046]
 [291939  86875  18287]
 [286266  89000  18566]]",5600,125,0.6,good,"[[286752  94591  18046]
 [286231  88974  18565]
 [291929  86850  18286]]"
69,69,2,0.5,0.5,0.5,864691135707508054,2,"[[299555 102903  17377]
 [299986 100770  17256]]",5600,125,0.6,good,"[[299695 102156  17330]
 [299974 100710  17257]]"
70,70,2,0.5,0.5,0.5,864691135008495997,2,"[[280639  88256  18965]
 [280377  87163  19077]]",5600,125,0.6,good,"[[280361  87070  19073]
 [281211  87765  19069]]"
71,71,2,0.6666666666666666,1.0,0.8,864691135867535786,2,"[[299386 144111  17853]
 [308152 142095  17214]]",5600,125,0.6,good,"[[305430 144033  17532]
 [307988 141969  17201]
 [299329 144074  17854]]"
72,72,2,1.0,1.0,1.0,864691133661730792,2,"[[283057 132640  16711]
 [282934 132656  16737]]",5600,125,0.6,good,"[[282876 132677  16736]
 [283048 132632  16708]]"
73,73,2,1.0,1.0,1.0,864691136615450396,2,"[[300397  94652  17399]
 [303732  84897  16745]]",5600,125,0.6,good,"[[300365  94656  17400]
 [303729  84851  16745]]"
74,74,2,1.0,1.0,1.0,864691135650898103,2,"[[284058  92219  17275]
 [280477  80185  16526]]",5600,125,0.6,good,"[[280458  80125  16525]
 [284076  92293  17278]]"
75,75,2,1.0,1.0,1.0,864691135279907910,2,"[[142439 252626  22975]
 [144188 253104  22654]]",5600,125,0.6,good,"[[144163 253108  22652]
 [142447 252623  22975]]"
76,76,2,0.5,0.5,0.5,864691134977448021,2,"[[114021 233743  22040]
 [112548 233575  22682]]",5600,125,0.6,good,"[[113340 233903  22080]
 [112559 233556  22687]]"
77,77,2,1.0,1.0,1.0,864691134235862095,2,"[[133389 255584  22054]
 [133595 255928  22130]]",5600,125,0.6,good,"[[133620 255966  22130]
 [133534 255845  22053]]"
78,78,2,0.5,0.5,0.5,864691136123301507,2,"[[119057 255814  24248]
 [120636 255518  25187]]",5600,125,0.6,good,"[[120148 255355  25143]
 [119191 255803  24246]]"
79,79,2,0.3333333333333333,1.0,0.5,864691135434940914,3,"[[115300 229294  20749]
 [ 89806 185302  20453]
 [ 91679 127944  19550]]",5600,125,0.6,good,"[[109737 212014  20305]
 [ 96402 163393  19548]
 [ 98154 182655  19611]
 [115403 229486  20744]
 [ 91719 127782  19549]
 [ 89754 185332  20453]
 [104516 199465  19944]
 [ 95997 164084  19657]
 [101548 195662  19849]]"
80,80,2,0.4,1.0,0.5714285714285715,864691135816837566,2,"[[127036 252594  22227]
 [142688 236562  22581]]",5600,125,0.6,good,"[[132902 243093  22899]
 [141770 239123  22632]
 [141890 237948  22588]
 [142714 236574  22580]
 [127024 252655  22225]]"
81,81,2,0.6,1.0,0.7499999999999999,864691135621495904,3,"[[346497  82778  27090]
 [339051  74578  26769]
 [339905  90093  27016]]",5600,125,0.6,good,"[[342879  79560  26913]
 [339718  89831  27031]
 [338869  74498  26773]
 [346701  82892  27091]
 [340262  75874  26978]]"
82,82,2,0.5,0.5,0.5,864691136357471324,2,"[[351839  91058  27284]
 [349567  97065  26976]]",5600,125,0.6,good,"[[348911  97223  27003]
 [351808  91033  27289]]"
83,83,2,0.5,0.5,0.5,864691136343165555,2,"[[357525  81584  25828]
 [358640  81180  25734]]",5600,125,0.6,good,"[[358191  81232  25775]
 [357478  81901  25809]]"
84,84,2,1.0,1.0,1.0,864691134890549721,2,"[[351987  86221  25848]
 [352110  86192  25831]]",5600,125,0.6,good,"[[351943  86211  25848]
 [352155  86220  25833]]"
85,85,2,0.5,0.5,0.5,864691135652094947,2,"[[347271  87374  25828]
 [347862  89018  24930]]",5600,125,0.6,good,"[[347572  88056  25784]
 [347975  89184  24923]]"
86,86,2,0.5833333333333334,0.7,0.6363636363636365,864691135609152739,10,"[[350303  87245  25848]
 [352494  73961  24070]
 [361312  78217  23289]
 [355414  99032  24187]
 [362931  90693  23843]
 [369298  84988  24004]
 [363628  84718  23270]
 [359997  79012  22863]
 [363894  77910  22917]
 [368113  80177  22869]]",5600,125,0.6,good,"[[363903  77921  22916]
 [350189  86875  25808]
 [360923  78470  23395]
 [369109  85071  24029]
 [355372  98901  24197]
 [352459  73896  24069]
 [362358  89414  24482]
 [368180  80437  22861]
 [363732  84815  23340]
 [359906  78922  22887]
 [362953  90719  23842]
 [364460  79960  22917]]"
87,87,2,1.0,1.0,1.0,864691135702260616,2,"[[111700 241689  22797]
 [110188 241117  22872]]",5600,125,0.6,good,"[[111954 241652  22804]
 [110190 241124  22871]]"
88,88,2,1.0,1.0,1.0,864691136235124174,2,"[[116186 247468  23275]
 [114619 246629  23503]]",5600,125,0.6,good,"[[116240 247528  23270]
 [114600 246529  23503]]"
89,89,2,0.3333333333333333,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",5600,125,0.6,good,"[[102562 175774  18513]
 [100595 173443  18528]
 [100016 172384  18841]]"
90,90,2,0.6666666666666666,1.0,0.8,864691135258412858,2,"[[104045 175065  18434]
 [104250 162713  19999]]",5600,125,0.6,good,"[[105710 173734  18923]
 [104036 175081  18433]
 [104250 162698  20001]]"
91,91,2,1.0,1.0,1.0,864691134996628976,2,"[[ 84884 179330  16386]
 [ 84548 179822  16236]]",5600,125,0.6,good,"[[ 84454 179841  16237]
 [ 85004 179266  16385]]"
92,92,2,1.0,1.0,1.0,864691132647441812,2,"[[125649 172835  17141]
 [125655 172900  17179]]",5600,125,0.6,good,"[[125645 172886  17178]
 [125652 172827  17140]]"
93,93,2,0.4,1.0,0.5714285714285715,864691135507956420,2,"[[104286 187511  18434]
 [108856 189773  20406]]",5600,125,0.6,good,"[[104915 190434  19403]
 [105533 189773  20143]
 [104435 187230  18433]
 [108850 189766  20406]
 [105974 191178  19451]]"
94,94,2,0.5,0.5,0.5,864691136947970766,2,"[[103922 176481  18434]
 [100014 169299  19066]]",5600,125,0.6,good,"[[103911 176513  18433]
 [100371 169043  19093]]"
95,95,2,0.3333333333333333,0.5,0.4,864691136810680430,2,"[[116389 195392  19326]
 [121899 191082  17880]]",5600,125,0.6,good,"[[117178 195259  19234]
 [121887 191045  17877]
 [118328 192695  18931]]"
96,96,2,1.0,1.0,1.0,864691135089638001,2,"[[122789 154701  20649]
 [122688 151314  20558]]",5600,125,0.6,good,"[[122670 151366  20554]
 [122735 154731  20649]]"
97,97,2,0.3333333333333333,0.5,0.4,864691135319600870,2,"[[106608 111803  20796]
 [ 98290  97555  21045]]",5600,125,0.6,good,"[[104882 104419  20465]
 [106887 111678  20735]
 [ 98250  97521  21044]]"
98,98,2,0.6666666666666666,1.0,0.8,864691136558839249,2,"[[103138 188530  21200]
 [ 91780 189141  20879]]",5600,125,0.6,good,"[[100119 188593  21097]
 [ 91792 189505  20893]
 [103251 188508  21198]]"
99,99,2,0.5,0.5,0.5,864691135458639120,2,"[[127475 206611  21525]
 [128120 207267  21512]]",5600,125,0.6,good,"[[127414 206532  21524]
 [127619 207230  21462]]"
